stockroom_id,name,description,location_id,creator,date_created,changed_by,date_changed,retired,retired_by,date_retired,retire_reason,uuid
343,Store,,2,3,2014-12-11 12:59:55,21.0,2014-12-15 15:14:44,0,,,,16d5f0cb-bee7-4cd4-ae8f-c07d8edb815c
344,Casualty,,2,3,2014-12-15 10:02:52,,,0,,,,a704d231-e7ca-4895-9cb8-e179a3e298e3
345,Lab,,2,3,2014-12-15 10:03:00,,,0,,,,4c9acebe-4f33-4637-9236-7d3b286de19d
346,Security,,2,16,2015-01-28 14:47:50,,,0,,,,0c73042c-177b-4723-9151-eeba82bc600f
347,triage,,2,11,2015-09-16 11:20:59,11.0,2015-09-16 11:24:14,1,11.0,2015-09-16 11:24:14,,556af950-fc05-4b23-84ea-7944153aa6aa
