item_price_id,item_id,price,name,description,creator,date_created,changed_by,date_changed,retired,retired_by,uuid,has_expiration
691,90.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47630d9b-5bc4-11e2-a081-b4b52f5b1c99
692,30.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763100a-5bc4-11e2-a081-b4b52f5b1c99
693,635.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763125b-5bc4-11e2-a081-b4b52f5b1c99
694,880.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763149b-5bc4-11e2-a081-b4b52f5b1c99
695,515.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476316e4-5bc4-11e2-a081-b4b52f5b1c99
696,140.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47631946-5bc4-11e2-a081-b4b52f5b1c99
698,955.0,OPD,,8,2014-04-04 11:02:47,1970-01-01 00:00:00.000000008,2014-04-04 11:02:47,1970-01-01,,,,47631dcf-5bc4-11e2-a081-b4b52f5b1c99
701,250.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476327b2-5bc4-11e2-a081-b4b52f5b1c99
705,430.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476333e2-5bc4-11e2-a081-b4b52f5b1c99
706,430.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47633626-5bc4-11e2-a081-b4b52f5b1c99
708,430.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47633acd-5bc4-11e2-a081-b4b52f5b1c99
715,250.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47634cd6-5bc4-11e2-a081-b4b52f5b1c99
718,275.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476353ce-5bc4-11e2-a081-b4b52f5b1c99
719,1665.0,OPD,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763561b-5bc4-11e2-a081-b4b52f5b1c99
